Fri Aug 28 04:24:13 PDT 2015 --  الإيمان هو أن ترى النور بقلبك عندما لا ترى عينيك إلا الظلام. pic.twitter.com/s5GY87ds9r
Sun May 24 10:20:03 PDT 2015 --  أنا أخاف من الأشخاص الذين احبهم، لأنهم الوحيدين الذين باستطاعتهم جرحي - كنان اميرزالي اوغلو pic.twitter.com/LOqiTyjEXy
Fri Aug 28 04:20:55 PDT 2015 --  Just leave it alone, if it's meant to be, it will happen.
Sat Aug 22 19:29:17 PDT 2015 --  Excatly why I don't attempt doing backflips pic.twitter.com/bPWMfwfOqt
Mon Aug 24 07:02:05 PDT 2015 --  Life is about being happy and taking everything as it comes. Smile, think positive.ㅤ
Mon Aug 24 06:13:31 PDT 2015 --  Sometimes I like to just relax and take the day off. And by “sometimes” I mean “all times.”
Sun Aug 23 19:11:40 PDT 2015 --  Life is 10% what you make it, & 90% how you take it.
Sun Aug 23 21:59:04 PDT 2015 --  We all make mistakes, don’t act like you’re better than someone else
Sun Aug 23 08:44:02 PDT 2015 --  آبتسم فليس هنآكك مآ تخسرهه فربكك موجود ورزقكك مكتوب وعمركك محدود كن جميلا لكي ترى آلجمال حولكك دآئمآ.
Sat Aug 22 04:38:32 PDT 2015 --  بعض الناس من كثر ما يتفلسف ، عادى إذا سألته وش اسمك ؟ يقول : من أي ناحيه !
Fri Aug 21 08:00:00 PDT 2015 --  أﺣﻴﺎﻧﺎً ﺗﻔﻘﺪ ﺇﻧﺴﺎﻧﺎً ﻭﺍﺣﺪ فيصبح ﺍﻟﻌﺎﻟﻢ ﻛﺄﻧﻪ ﻗﺪ أصبح خالياً ﻣﻦ ﺍﻟﺒﺸﺮ !
Fri Aug 21 06:41:18 PDT 2015 --  لكي لا تخسر نفسك، لا تقلد غيرك، لا تقارن حياتك بالآخرين، لا تتحدى إلا ذاتك، ولا تنتقد أمراً وأنت لم تجربه !
Fri Aug 21 05:54:16 PDT 2015 --  Relationship gets stronger when both are willing to understand mistakes and forgive each other
Fri Aug 21 03:09:58 PDT 2015 --  عجوووز مصرقعةة هههههههہااي pic.twitter.com/Z38669he3S
Thu Aug 20 00:32:18 PDT 2015 --  في بعض الأحيان لانحتاج لمشورة أحد فقط نريد أن يستمع الشخص إلى مشاكلنا دون أن يتحدث.
Tue Aug 18 01:48:39 PDT 2015 --  واحد تهاوش مع زوجته قال لها : ما راح اشبهك بالحمار اخاف يزعل ! قالت له : كل شي الا زعلك عاد هههههههههههههههههههههههههههههههههههههههههههه
Wed Aug 19 23:37:01 PDT 2015 --  بعض البشر , كالعُمر لا يُعاد ولا يُنسى ولن يتكرر .
Thu Aug 20 02:21:40 PDT 2015 --  تأكد حين تنكسر لن يرممك سوى نفسك فقدرتك على الوقوف مرة أخرى لا يملكها سواك
Wed Aug 19 09:16:53 PDT 2015 --  وفرحانين بملعب مدينة الملك عبدالله في جده pic.twitter.com/UQCotvNlRO
Tue Aug 18 22:05:23 PDT 2015 --  Life is too short to be normal. Stay weird..
Fri Aug 07 21:20:11 PDT 2015 --  Sometimes you have to do what’s best for you and your life, not what’s best for everybody else.
Wed Aug 19 03:42:24 PDT 2015 --  الضحك أفضل دواء Laughter really is the best medicine pic.twitter.com/8mpEXqQuJ1
Tue Aug 18 21:23:20 PDT 2015 --  من اجمل ما قرأت.. اذا رأيت الناس يعجبون بك فاعلم انهم يعجبون بجميل اظهره الله منك ولا يعلمون عن قبيح ستره الله عليك فاشكر الله ولا تغتر..
Wed Aug 19 00:49:08 PDT 2015 --  الابتسامة لا تعني السعادة دائماً فهي أحياناُ تكون قناعاً لحزن شديد يختفي تحتها !
Tue Aug 18 11:51:30 PDT 2015 --  التعامل مع البشر بمختلّف عقلياتهم وأطباعهم وأخلاقهم ، يحتاج إلى صبر ، وأحياناً غباء مُتعمد ،!
Tue Jun 30 13:33:37 PDT 2015 --  عادي تذكر كلام كاتبه قبل سنتين .. لكن صعب تذكر وين حطيت جوالك قبل لحظة.
Tue Aug 18 09:04:14 PDT 2015 --  اذا شفتني منسدح لا تقولي " دامك فاضي " منب فاضي انا جسمي مشغول بالراحه
Mon Aug 17 09:25:46 PDT 2015 --  العمر و الأحلام و الغالين أشياء ماترجع إذا راحت...!
Tue Aug 18 00:24:32 PDT 2015 --  أصعب شي تبكي على ذكرى مضحكة لشخص متوفي
Mon Aug 17 10:54:09 PDT 2015 --  دايماً القرار ابو خمس دقايق يجي احسن من اللي اجلس افكر فيه يومين
Tue Aug 18 01:51:09 PDT 2015 --  الشخص الذي يجعلك تشعر انك اسعد شخص في العالم هو الشخص الذي من الممكن ان يتسبب لك بأعمق ألم قد تتخيله !
Tue Aug 18 04:34:43 PDT 2015 --  مُملة الوحدة، لكنها أكثر إنصافًا من ضجيج يمتلئ نفاقًا !
Mon Aug 17 20:16:58 PDT 2015 --  Never expect, never assume, never ask, and never demand. Just let it be. If it is meant to be, it will happen.
Tue Aug 18 00:01:19 PDT 2015 --  Sometimes trusting a friend is the hardest thing to do. Even the closest friends can become your enemies.
Mon Aug 17 22:13:13 PDT 2015 --  "Sometimes I just don't understand anything."
Sun Aug 16 20:53:13 PDT 2015 --  أسلوبك في وصف أخطائي أو عيوبي يحدد ما إذا كنت : ناقد أو حاقد .
Mon Aug 17 01:22:56 PDT 2015 --  العالم وهو عالم.. قد يخطئ في مسألة ما والجاهل وهو جاهل..قد يصيب في أمر ما فالله سبحانه وهبنا العقل لنقبل بالحق ممن قاله..ونرد الخطأ لمن قاله
Sun Aug 16 17:16:21 PDT 2015 --  بعض السناجب في روسيا تأتي على شكل مجموعة عصابات لتصيد الكلاب وتفترسهم في الحدائق والمنتزهات pic.twitter.com/m7zudjIboB
Sat Aug 15 14:19:28 PDT 2015 --  pic.twitter.com/WxyrderAzg
Thu Aug 13 12:14:24 PDT 2015 --  لن تعيش حياة سعيدة.. إن كنت تهتم في مايقوله الناس عنك You'll never live a happy life if you always care about what others think about you
